#line, expected, detected, text
196, zh, un, 只是被拦在舞台上是在公约 》 @HiltonLondonMet pic.twitter.com/vMxWzuPxkw @TheSocieties @GlynDewis 新耳模型
197, zh, un, 在全面展开 @HiltonLondonMet，pic.twitter.com/eqYnG3IJrn 第 # 2016年 @TheSocieties
199, zh, un, 于是，它开始!第 pic.twitter.com/wHugsQ0TkY @HiltonLondonMet @TheSocieties 展出
219, zh, un, 预订现在 Jan 31 为利率低至 69 美元!http://bit.ly/1T9tzez: @seeshreveportbossier & @raynarayoflight 地 pic.twitter.com/6IhxPgtHu8
228, zh, un, 是啊
232, zh, zh-Hant, 高超 ""-一如既往的好。<br><br>"-"-价格昂贵的一个坑
240, zh, ja, 位置 ""-位置，一切 <br><br>的东西"-"什么
242, zh, un, 很棒的生日周末 ""-一切 <br><br>"-"-没有投诉
248, zh, un, 庆祝 #RobertBurns Balvenie 我们 12 岁的 #WhiskyWednesday #Scotland pic.twitter.com/rmRvwBzk0c 的甜美味道的生活
249, zh, en, 是世界上最大过援手贺卡的一部分!#feelwelcome2016 @ibishkcsw http://www.feelwelcome2016.com/en
289, zh, en, 有没有人说 #BACON?!头 Sportsmans 的天堂咖啡馆什里夫波特的最佳汉堡!第 pic.twitter.com/gZplQbVAmR #BaconBurger #Shreveport
290, zh, en, Arrived @HiltonLondonMet for the @TheSocieties #convention2016  Everyone helpful and courteous and looking forward to the next few days
294, zh, en, Arrived @HiltonLondonMet for the @TheSocieties #convention2016  Everyone helpful and courteous and looking forward to the next few days
309, zh, un, 好 ""-位置 <br><br>
317, zh, en, #MondayMotivation LivingWell 的健身中心。我们相信你!第 pic.twitter.com/nRpx1LXoNS #gym #workout
320, zh, en, #MondayMotivation LivingWell 的健身中心。我们相信你!第 pic.twitter.com/nRpx1LXoNS #gym #workout
330, zh, zh-Hant, 非常好 ""— — 更容易的去了。<Br>"-"<br>-Wi-Fi 必须重新连接每次
382, zh, un, 好的房间。好的早餐。浴室，都有不足之处。
456, zh, zh-Hant, 令人敬畏 "-"-Kolo
457, zh, un, 好位置 ""-一切 <br><br>"-"什么
469, zh, zh-Hant, 11:0 上午 $120 埃尔多拉多什里夫波特 NL 扑克锦标赛 $75 插件 @eldoradoshv http://www.pokeratlas.com/poker-tournament/eldorado-shreveport-120-1100am-nl-holdem-poker-tournament?topid=84324-2016-01-09...
492, zh, en, 通过雾镜头。: #OnlyLouisiana #Shreveport #Travel #Louisiana pic.twitter.com/gksWrn6zIC @shotsbystevn #EldoradoShreveport
493, zh, en, 6:30 下午埃尔多拉多什里夫波特 $130 NL 扑克锦标赛 @eldoradoshv http://www.pokeratlas.com/poker-tournament/eldorado-shreveport-130-630pm-nl-holdem-poker-tournament?topid=95857-2016-01-08...
496, zh, un, I'm at Ibis Hong Kong Central & Sheung Wan 宜必思香港中上环酒店 in Sheung Wan https://www.swarmapp.com/c/ccy3Xksx0KF 
498, zh, en, 通过雾镜头。: #OnlyLouisiana #Shreveport #Travel #Louisiana pic.twitter.com/gksWrn6zIC @shotsbystevn #EldoradoShreveport
499, zh, en, Le Freak RETURNS to @EldoradoSHV in Shreveport LA TONIGHT!9 下午第 pic.twitter.com/k4CbwTHazZ #LeFreak #ShreveportLA #CelebrityLounge 开始
534, zh, un, 可怜 ""-<Br>"-"<br>位置清洗并不存在。
541, zh, ja, 神话般 ""-大上眺望海港 <br><br>"-"-早餐是平均
550, zh, en, 6:30 下午 $165 埃尔多拉多什里夫波特 NL 扑克锦标赛 $50 插件 @eldoradoshv http://www.pokeratlas.com/poker-tournament/eldorado-shreveport-165-630pm-nl-holdem-poker-tournament?topid=88484-2016-01-07...
580, zh, un, 老了，但很好。 ""-餐厅的食物是很好。<br><br>"-"-老赌场机。
590, zh, en, 6:30 下午埃尔多拉多什里夫波特 $145 NL 扑克锦标赛 @eldoradoshv http://www.pokeratlas.com/poker-tournament/eldorado-shreveport-145-630pm-nl-holdem-bounty-poker-tournament?topid=84323-2016-01-06...
592, zh, un, 看起来很好影响的 @HiltonLondonMet @mobo @mobilebarhire @Lakhvirbanwait @TejRandeva @Kudosmusic @BigDay_Photo @Cardeva @Maharaja
620, zh, un, @HiltonLondonMet-少 @mobo @Lakhvirbanwait @TejRandeva @dipnaanand @Kudosmusic @BigDay_Photo @Cardeva @Maharaja 是更多。伟大的设计
622, zh, en, Looking forward to the @TheSocieties #convention2016 @HiltonLondonMet with @Diane_DLB_Photo @JohnDentonPhoto @mymacroworld @alice_gregoryx
667, zh, en, (at Ibis Hong Kong Central &amp; Sheung Wan 宜必思香港中上环酒店) — https://path.com/p/2I00Rx 
671, zh, un, 令人敬畏 ""-毛绒 <br><br>"-"-n/A
740, zh, un, 靠近地铁 ""-交通便利，附近的便利商店，只是一步之遥汽车站 <br><br>
761, zh, un, 所有完美
817, zh, zh-Hant, 令人愉快 "-"-早餐是 chais
1009, zh, zh-Hant, ""-눇Everyone，一切都很出色。 我在老式的晚餐是第一次率。
1015, zh, un, 6:30 下午第 https://t.co/vXe6ytDATd NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 130 美元
1016, zh, un, 6:30 下午第 https://t.co/vXe6ytDATd NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 130 美元
1021, zh, en, I'm at Ibis Hong Kong Central &amp; Sheung Wan 宜必思香港中上环酒店 in Sheung Wan https://t.co/ftmK1JSP5o
1022, zh, en, I'm at Ibis Hong Kong Central &amp; Sheung Wan 宜必思香港中上环酒店 in Sheung Wan https://t.co/nEYwSdhj2U
1047, zh, en, I'm at Ibis Hong Kong Central &amp; Sheung Wan 宜必思香港中上环酒店 in Sheung Wan https://t.co/tw3RdyxlBX https://t.co/JfzwmmYaTB
1048, zh, en, Welcome Drink (@ Ibis Hong Kong Central &amp; Sheung Wan 宜必思香港中上环酒店 in Sheung Wan) https://t.co/kheV1lb0X0 https://t.co/VhtWU4sYYp
1074, zh, un, 6:30 下午第 https://t.co/Ut2Pc0kxxm NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 145 美元
1075, zh, un, 6:30 下午第 https://t.co/Ut2Pc0kxxm NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 145 美元
1157, zh, un, 12:0 下午第 https://t.co/AW9EBkXlXj NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 145 美元
1158, zh, un, 12:0 下午第 https://t.co/AW9EBkXlXj NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 145 美元
1159, zh, en, I'm at Ibis Hong Kong Central &amp; Sheung Wan 宜必思香港中上环酒店 in Sheung Wan https://t.co/sT9L7Us7PR
1183, zh, un, 48 小时和计数...#topmodel2016 #interviews @OmarMansoor @ella_parsons @FashionIntLFW @HiltonLondonMet @thesohosalon @totaltalentjobs
1185, zh, un, RT @TOPMODELUK: 48 小时和计数...#topmodel2016 #interviews @FashionIntLFW @OmarMans @HiltonLondonMet @thesohosalon @totaltalentjobs...
1190, zh, zh-Hant, 我周五晚上...吸: 宜必思酒店 Hong 香港中央及上环地 https://t.co/v9tj8sLKQZ
1200, zh, zh-Hant, 它是第六次。: 宜必思酒店 Hong 香港环和上环地 https://t.co/g4oUinMlrj
1262, zh, un, 6:30 下午第 https://t.co/0j4MTBPvWd NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 145 美元
1263, zh, un, RT @NewOrleansPoker: 6:30 下午第 https://t.co/0j4MTBPvWd NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 145 美元
1264, zh, un, 6:30 下午第 https://t.co/0j4MTBPvWd NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 145 美元
1265, zh, un, RT @NewOrleansPoker: 6:30 下午第 https://t.co/0j4MTBPvWd NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 145 美元
1266, zh, un, 短暂的停留<br/>""-<br><br>눇Good 位置"-"-눉I 是满意入住
1267, zh, un, 好<br/>""-<br><br>눇Good 位置"-"-눉Late 签入
1312, zh, un, 好<br/>""-눇The 海景!:-)
1353, zh, un, RT @iamcrush: 绝对爱这些是男人 #reuniontour @Triggerproof1 @iamcrush @EldoradoSHV #celebritylounge @VCCmgmt https://t.co/Rz4R709W...
1360, zh, zh-Hant, Good<br/>"+" - 눇海景很棒！
1373, zh, un, 12:0 下午第 https://t.co/OzlqUGeFCS NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 145 美元
1374, zh, un, 12:0 下午第 https://t.co/OzlqUGeFCS NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 145 美元
1375, zh, un, * *: 23,195.27 * * @HiltonLondonMet @thesohosalon @CwC_UK @TheoPaphitis @iveracademy @totaltalentjobs #topmodel2016 https://t.co/c7VLd0afjm
1378, zh, un, RT @TOPMODELUK: * *: 23,195.27 * * @HiltonLondonMet @thesohosalon @CwC_UK @TheoPaphitis @iveracademy @totaltalentjobs #topmodel2016 https://......
1395, zh, en, ArgumentException: The incoming token has expired. Get a new access token from the Authorization Server. : ID=3427.V2_Json.Translate.3876565E<br/>ArgumentException: The incoming token has expired. Get a new access token from the Authorization Server. : ID=3541.V2_Json.Translate.3854A765
1404, zh, zh-Hant, 11:0 上午 $120 埃尔多拉多什里夫波特 NL 扑克锦标赛 $75 插件 @eldoradoshv https://t.co/U3FrQrY7lV
1405, zh, en, 我舞台今晚 eldoradoshreveport #celebritylounge #videodj #shreveport #crushlive @ 在埃尔多拉多......https://t.co/zEWuP09NW5
1406, zh, un, 只是宣布: 什里夫波特，路易斯安那-12 月 12 日在埃尔多拉多赌场，https://t.co/hYPUcMiWAx
1407, zh, un, 今晚有 @CelebrityShreve @TheRadioDJs @KiddNation @EldoradoSHV @VCCmgmt #reunionshow @iamcrush @Triggerproof1
1408, zh, un, RT @iamcrush: 今晚有 @CelebrityShreve @TheRadioDJs @KiddNation @EldoradoSHV @VCCmgmt #reunionshow @iamcrush @Triggerproof1
1409, zh, un, 绝对爱这些家伙 #reuniontour @Triggerproof1 @iamcrush @EldoradoSHV #celebritylounge @VCCmgmt https://t.co/Rz4R709Wnp
1410, zh, zh-Hant, 11:0 上午 $120 埃尔多拉多什里夫波特 NL 扑克锦标赛 $75 插件 @eldoradoshv https://t.co/U3FrQrY7lV
1412, zh, ja, ""-<Br>"-"<br>良好接地 nunj 好
1426, zh, un, 6:30 下午第 https://t.co/0AsqAlF1DN NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 130 美元
1427, zh, un, 6:30 下午第 https://t.co/0AsqAlF1DN NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 130 美元
1428, zh, ja, 间谍活动主题家庭寻宝 @HiltonLondonMet &gt; https://t.co/Y2KPU3rn6W &gt; 大有趣的方式来探索城市 #familytravel
1429, zh, un, RT @familyonabike: 间谍主题家庭寻宝 @HiltonLondonMet &gt; https://t.co/Y2KPU3rn6W &gt; 大有趣的方式来探索城市 #familytra...
1438, zh, un, 我很喜欢的游泳池和桑拿浴室。基本但很舒适。
1443, zh, un, Cp值很高
1445, zh, un, RT @NewOrleansPoker: 6:30 下午 $165 埃尔多拉多什里夫波特 NL 扑克锦标赛 $50 插件 @eldoradoshv https://t.co/nkPiCuHeeC
1447, zh, un, RT @NewOrleansPoker: 6:30 下午 $165 埃尔多拉多什里夫波特 NL 扑克锦标赛 $50 插件 @eldoradoshv https://t.co/nkPiCuHeeC
1451, zh, un, 好吧<br/>"눇İlk"-房间里晚上也有噪音
1455, zh, un, 还过得去<br/>""-<br>"— —"눇Frukosten <br>눉Dåligt Wifi 各地酒店工作很差
1468, zh, un, 仍然会再次使用这一家酒店<br/>""-눇Excellent 食品 <br><br>"-"-눉Small 室
1475, zh, un, @Maharaja 团队从屠妖节快乐。 #HappyDiwali #Maharaja #MaharajaLondon @HiltonLondonMet https://t.co/ct0Ilmh5tf #Diwali2015 #Diwali
1487, zh, un, L m o k"-接地 <br><br>"-"-nunj l d 我 k m th th
1491, zh, un, 非常好<br/>""-눇Su 的位置
1512, zh, un, "-"-눉To 的硬床上
1514, zh, zh-Hant, 它是太酷。
1524, zh, un, ""-<Br>"-"<br>-nunj 接地。。
1533, zh, un, 12:0 下午第 https://t.co/fBbDr7bqXW NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 145 美元
1534, zh, un, 12:0 下午第 https://t.co/fBbDr7bqXW NL 扑克锦标赛 @eldoradoshv 埃尔多拉多什里夫波特 145 美元
1538, zh, un, 好<br/>"-"-눉Die 床是太难了。
1544, zh, un, 便宜
1547, zh, zh-Hant, 11:0 上午 $120 埃尔多拉多什里夫波特 NL 扑克锦标赛 $75 插件 @eldoradoshv https://t.co/3XtiwJL4ab
1549, zh, zh-Hant, 11:0 上午 $120 埃尔多拉多什里夫波特 NL 扑克锦标赛 $75 插件 @eldoradoshv https://t.co/3XtiwJL4ab
1551, zh, un, 令人愉快<br/>"-" - 눉房太小，床连床
1577, zh, en, Very good<br/>"+" - 海景房
1721, zh, un, 好<br/>""-<br><br>位置"-"-在床房 964 & 965 不便
1934, zh, un, 位置<br/>方便的位置。我想我真的很喜欢的德州扑克表。水槽排水不做得很好。钻石休息室是不像能用在 DL 有太多的食物。床也很舒服。
2017, zh, zh-Hant, 好的经验<br/>一切都很好。
2042, zh, un, Fabulous<br/>"+" - 早餐不错，位置也很好<br><br>"-" - 免费wifi只有大厅有
2051, zh, zh-Hant, “很推薦”<br/>"+" - 海景房不管白天晚上都超漂亮，物超所值<br><br>
2067, zh, un, "非常好，很方便，有到香港站的免费穿梭巴士"<br/>"+" - 服务人员也很好
2084, zh, zh-Hant, "出行很方便"<br/>"+" - 酒店位置很好<br><br>"-" - wifi速度很慢，房间有点小
2094, zh, zh-Hant, "小而全"<br/>"+" - 安排的很好，海景房<br><br>"-" - 没有
2096, zh, un, "很普通"<br/>"+" - 位置好
2137, zh, zh-Hant, "窗外景色很漂亮，房间在香港算很大了"<br/>"+" - 免费Wifi,很干净<br><br>"-" - 离地铁站有点远
2168, zh, un, 403 皇后大道西，香港 Tel.28576633
2249, zh, un, 在咖啡馆里得到的东西去了。坐在柜台和一只蟑螂爬本身在柜台。
2265, zh, un, 巨大的酒店，客房是体面的大小，中心位置虽然不晚上散步!
2273, zh, un, 前 1 年
2283, zh, un, 在咖啡馆里得到的东西去了。坐在柜台和一只蟑螂爬本身在柜台。
2299, zh, un, 巨大的酒店，客房是体面的大小，中心位置虽然不晚上散步!
2307, zh, un, 前 1 年
2322, zh, un, 在咖啡馆里得到的东西去了。坐在柜台和一只蟑螂爬本身在柜台。
2338, zh, un, 巨大的酒店，客房是体面的大小，中心位置虽然不晚上散步!
2346, zh, un, 前 1 年
2355, zh, un, 在咖啡馆里得到的东西去了。坐在柜台和一只蟑螂爬本身在柜台。
2371, zh, un, 巨大的酒店，客房是体面的大小，中心位置虽然不晚上散步!
2379, zh, un, 前 1 年
2389, zh, zh-Hant, 夜景超級棒!!<br/>交通很方便,海景房夜景超美!!

rows: 2430, rowsMismatch: 164
